(MAPKKK_activation).Ki	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.009	3.69863	0.100948	1.50797	0.178565	0.1	25.0472	0.165506	0.109469	0.183942	7.76072	0.734488	17.8486	26.3331	2.08878	2.15175	35.9661	96.7258	2.01833	26.4347	1.98543	11.2924	33019.3
900.008	26.3451	0.164523	2.97578	0.231304	0.1	0.1	1.18151	0.132115	0.195758	24.2557	12.4092	25.4656	44.5798	2.18265	0.1	15.7687	42.4742	5.20338	45.2549	6.16061	0.100927	8003.23
1800.01	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	47.0681	42939.8
2700.01	14.6458	0.670334	2.07066	0.246259	0.1	55.3505	0.2406	0.109006	0.155331	9.60022	0.167902	0.1	78.068	3.19063	2.27772	25.5616	51.2435	6.32026	37.3542	8.91169	0.1	42898.6
3600.01	71.0854	0.98212	1.51709	0.355949	0.13516	5.24688	0.696515	0.172227	0.179588	15.978	0.16356	14.4666	34.6687	0.88753	1.5067	59.697	53.8381	5.58621	44.9734	6.27712	0.345623	13215.4
4500.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
5400.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
6300.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
7200.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
8100.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
9000.0	17.4675	0.66755	1.57056	0.233941	0.1	46.495	0.237529	0.101595	0.137225	10.4972	0.1	0.1	71.9699	2.61471	0.143212	13.7156	56.7066	5.87668	32.0564	8.03027	18.1031	42939.8
