[TGFbR]_0	[CoSmad]_0	[Smad_P]_0	[Smad_P_N]_0	[I_Smad_mRNA1]_0	[I_Smad_mRNA2]_0	[TGFb_TGFbR]_0	[Smad_P_Smad_P]_0	[Smad_P_CoSmad]_0	[Smad_P_Smad_P_N]_0	[I_Smad]_0	[TGFb]_0	[CoSmad_N]_0	[Smad]_0	[TGFb_TGFbR_P]_0	[Smad_N]_0	[Smad_P_CoSmad_N]_0	[I_Smad_TGFb_TGFbR_P]_0	Values[k13].InitialValue	Values[k12].InitialValue	Values[k11].InitialValue	Values[k10].InitialValue	Values[k17].InitialValue	Values[k16].InitialValue	Values[k15].InitialValue	Values[k14].InitialValue	Values[h].InitialValue	Values[k19].InitialValue	Values[k18].InitialValue	Values[k3].InitialValue	Values[k2].InitialValue	Values[k1].InitialValue	Values[k7].InitialValue	Values[k6].InitialValue	Values[k5].InitialValue	Values[k4].InitialValue	Values[k9].InitialValue	Values[k8].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.90958e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.27122e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.12872e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.09613e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.90474e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.00816e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.48228e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.93843e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.81873e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.75353e-06

1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.90958e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.47925e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.26191e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.15581e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.70817e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.85857e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.74642e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.8156e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.63641e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.15447e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.99654e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.04157e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.00688e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.39485e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.07259e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.02935e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.93949e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.46224e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	2.06063e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.41577e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.1668e-06

