(phosphorylation of MAPK-P).KK8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
509.063	1865.59
584.483	2627.25
671.076	1746.9
770.498	1710.99
884.65	1759.74
1015.71	1778.87
1166.2	1948.18
1338.97	1872.87
1537.35	1997.02
1765.11	1987.95
2026.62	1970.08
2326.87	1747.64
2671.6	1713.92
3067.41	1726.4
3521.86	1751.7
4043.63	1710.06
4642.71	1741.16
5330.54	1772.06
6120.28	1716.37
7027.03	1729.51
8068.1	1723.05
9263.42	1983.74
10635.8	1783.26
12211.6	1806.74
14020.8	1709.05
16098	1732.64
18483	1727.25
21221.3	1766.59
24365.3	1742.12
27975.1	1727.48
32119.7	1729.94
36878.4	1705.56
42342	1707.55
48615.1	1709.86
55817.6	1745.85
64087.2	1731.67
73582	1716.1
84483.4	1750.16
97000	1751.35
111371	1707.92
127871	1710.6
146815	1704.98
168567	1704.32
193540	1704.3
222214	1705.57
255136	1704.32
292935	1705.02
336335	1705.52
386164	1706.87
443375	1713.34
509063	1704.27
584483	1704.53
671076	1705.13
770498	1712.62
884650	1703.61
1.01571e+06	1705.11
1.1662e+06	1706.9
1.33897e+06	1713.56
1.53735e+06	1726.28
1.76511e+06	1733.71
2.02662e+06	1757.61
2.32687e+06	1721.12
2.6716e+06	2104.11
3.06741e+06	1733.89
3.52186e+06	2376.4
4.04363e+06	1727.31
4.64271e+06	2240.82
5.33054e+06	2526.25
6.12028e+06	7519.37
7.02703e+06	12064.1
8.0681e+06	12237
9.26342e+06	13769.6
1.06358e+07	30402.9
1.22116e+07	9824.61
1.40208e+07	12788.7
1.6098e+07	15846.1
1.8483e+07	36480.4
2.12213e+07	26870.7
2.43653e+07	52816.6
2.79751e+07	29929.9
3.21197e+07	88617.7
3.68784e+07	80797.8
4.2342e+07	84716.1
4.86151e+07	109219
5.58176e+07	103735
6.40872e+07	138747
7.3582e+07	155621
8.44834e+07	151517
9.7e+07	143058
1.11371e+08	142748
1.27871e+08	144005
1.46815e+08	156684
1.68567e+08	161124
1.9354e+08	162907
2.22214e+08	167356
2.55136e+08	169285
2.92935e+08	168343
3.36335e+08	170682
3.86164e+08	172434
4.43375e+08	171829
5.09063e+08	172513
