(phosphorylation of MAPK-P).KK8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
894.842	1772.47
1027.42	2063.53
1179.63	1708.19
1354.4	1699.42
1555.06	1763.12
1785.44	2166.36
2049.96	1856.98
2353.67	1695.77
2702.38	1692.99
3102.75	1696.15
3562.43	1716.22
4090.22	1750.58
4696.2	1712.48
5391.96	1764.8
6190.79	2116.87
7107.98	1695.85
8161.06	1694.29
9370.15	1718.38
10758.4	1697.97
12352.3	2050.41
14182.3	1698.74
16283.4	1696.41
18695.9	1690.71
21465.8	1700.45
24646	1788.94
28297.4	1698.02
32489.7	1696.22
37303.2	1707.57
42829.8	1713.14
49175.2	1710.55
56460.7	1698.66
64825.6	1700.38
74429.7	1693.29
85456.7	1723.25
98117.5	1697.13
112654	1710.72
129344	1704.06
148507	1703.15
170509	1695.83
195770	1717.18
224774	1693.41
258075	1692.82
296310	1688.4
340209	1688.81
390613	1690.75
448483	1689.02
514928	1688.12
591216	1688.11
678807	1698.28
779375	1688.71
894842	1687.74
1.02742e+06	1688.37
1.17963e+06	1688.28
1.3544e+06	1689.45
1.55506e+06	1693.16
1.78544e+06	1692.1
2.04996e+06	1691.62
2.35367e+06	1697.89
2.70238e+06	1700.94
3.10275e+06	1694.08
3.56243e+06	1903.16
4.09022e+06	1741.44
4.6962e+06	1739.97
5.39196e+06	1763.03
6.19079e+06	1690.99
7.10798e+06	1765.02
8.16106e+06	1840.46
9.37015e+06	8971.82
1.07584e+07	2044.31
1.23523e+07	7135.45
1.41823e+07	4260.85
1.62834e+07	4446.09
1.86959e+07	30931.4
2.14658e+07	45456.1
2.4646e+07	44145.3
2.82974e+07	4170.84
3.24897e+07	20647
3.73032e+07	6783.29
4.28298e+07	43778.6
4.91752e+07	43847.4
5.64607e+07	6024.23
6.48256e+07	92220.3
7.44297e+07	14193.7
8.54567e+07	7265.3
9.81175e+07	1935.43
1.12654e+08	67485.5
1.29344e+08	86202.2
1.48507e+08	131384
1.70509e+08	112901
1.9577e+08	144905
2.24774e+08	65978.6
2.58075e+08	115819
2.9631e+08	122253
3.40209e+08	142306
3.90613e+08	140865
4.48483e+08	101676
5.14928e+08	158683
5.91216e+08	158797
6.78807e+08	154736
7.79375e+08	158296
8.94842e+08	157828
